z,pre,pre_high_h,auto_0.425,auto_0.85,non_0.425,non_0.85
0.1,0.4007530387808895,0.184881722566561,0.29548238470337695,0.46749999999999997,0.425,0.85
0.10250000000000001,0.40189678033983156,0.18645844000387612,0.2962796558569787,0.4685625,0.425950961437796,0.85
0.105,0.40304052189877354,0.18803515744119137,0.2970769270105804,0.46962499999999996,0.42701377213016983,0.85
0.1075,0.404191246697939,0.18961885811872992,0.29788118140440567,0.4706875,0.42808356606276715,0.85
0.11,0.40534197149710444,0.1912095615973889,0.2986854357982308,0.47175,0.4291533599953644,0.85
0.1125,0.40649971876818003,0.19280728754795806,0.299489690192056,0.4728125,0.4302301763998719,0.85
0.115,0.40765746603925557,0.19440501349852712,0.3003009868394023,0.473875,0.4313069928043792,0.85
0.11750000000000001,0.4088152133103311,0.1960098015959889,0.3011122834867487,0.4749375,0.43239087135577925,0.85
0.12,0.4099800427343811,0.19762167184642532,0.3019306622870695,0.476,0.43347474990717927,0.85
0.1225,0.4111448721584312,0.1992335420968615,0.3027490410873903,0.4770625,0.4345586284585794,0.85
0.125,0.41231682408960374,0.20085253485442023,0.3035745423948336,0.47812499999999997,0.43564962951710196,0.85
0.1275,0.41348877602077627,0.20247867046912182,0.3044000437022769,0.4791875,0.4367406305756245,0.85
0.13,0.4146678912757311,0.20411196940760568,0.3052255450097203,0.48025,0.4378387949579293,0.85
0.1325,0.41584700653068596,0.20574526834608964,0.3060582302252096,0.48131250000000003,0.4389369593402341,0.85
0.135,0.41703332639659174,0.20738577189552454,0.30689091544069896,0.482375,0.44004232833348983,0.85
0.1375,0.4182196462624975,0.20903350087848538,0.30773082608971425,0.48343749999999996,0.4411476973267457,0.85
0.14,0.41940596612840336,0.21068122986144633,0.3085707367387296,0.4845,0.4422603126968131,0.85
0.14250000000000002,0.42059955343616967,0.2123362262862677,0.3094179148296054,0.4855625,0.44337292806688056,0.85
0.145,0.42179314074393587,0.2139985113408267,0.31026509292048116,0.486625,0.44448554343694796,0.85
0.1475,0.4229940379932226,0.2156607963953856,0.3111195809528774,0.4876875,0.4456054687485358,0.85
0.15,0.4241949352425094,0.21733041282824372,0.31197406898527363,0.48875,0.4467253940601237,0.85
0.1525,0.42540318543297256,0.21900738220227822,0.31282855701766993,0.4898125,0.447852672312888,0.85
0.155,0.4266114356234358,0.22068435157631283,0.31369041968133465,0.490875,0.4489799505656524,0.85
0.1575,0.42781968581389906,0.22236871740005149,0.3145522823449993,0.49193749999999997,0.45011462526812085,0.85
0.16,0.4290353544019884,0.22406050162141633,0.31542156340629013,0.493,0.4512492999705893,0.85
0.1625,0.4302510229900777,0.22575972631897157,0.31629084446758093,0.49406249999999996,0.4523839746730578,0.85
0.165,0.43147415426473423,0.2274589510165269,0.31716012552887174,0.495125,0.4535261120620935,0.85
0.1675,0.4326972855393907,0.22916566074402234,0.3180368916201027,0.4961875,0.45466824945112905,0.85
0.17,0.43392041681404725,0.23087987797902532,0.3189136577113336,0.49725,0.4558178943476722,0.85
0.17250000000000001,0.43515107820918564,0.23259409521402818,0.31979795392304644,0.4983125,0.45696753924421535,0.85
0.17500000000000002,0.4363817396043241,0.23431586531912185,0.3206822501347593,0.499375,0.4581171841407585,0.85
0.1775,0.43761997675703823,0.23604521118179111,0.3215741221040479,0.5004375,0.4592744047948774,0.85
0.18,0.4388582139097523,0.2377745570444605,0.3224659940733365,0.5015,0.4604316254489963,0.85
